Title,abstract,Review Status,Selection Status,Last Stage included,relative_citation_index,relevance_score,Research Question,Authors,"Related Literature Review ",year,DOI,venue,"Related back to Literature Review ",Comment,#
An advanced telco cloud simulator and its usage on modelling multi-cloud and 5G multi-access environments,"This paper introduces an advanced Telco Cloud Simulator that realistically models user behavior (users of different types moving around and demanding network resources) and the effect of this behavior on the relating cloud environment and the distributed Mobile Edge Computing (MEC) subsystems. Expected inputs of the simulation are the following: guidelines behind user behavior, telco infrastructure (with access/backhaul/core segments) and characteristics of Virtual Network Functions (VNFs) needed for serving the users. Outputs of the simulation are the following: movement and network resource demands of users, placing and scaling of the different VNFs needed for service provisioning. Based on the output further computations like energy consumption, total cost of ownership, etc. can be performed. Besides detailing the simulator architecture and operation we also showcase a 5G multi-access communication scenario where multiple service provision domains are simultaneously available for users with highly different communication characteristics and network usage profiles.",,Undecided,Abstract Screening,0.285714,1,,"P. Hegyi, L. Bokor, Norbert Varga",,2018,10.1109/icin.2018.8401637,"Conference on Innovation in Clouds, Internet and Networks",,,122
IMEX Finite Volume Methods for Cloud Simulation,We present new implicit-explicit (IMEX) finite volume schemes for numerical simulation of cloud dynamics. We use weakly compressible equations to describe fluid dynamics and a system of advection-diffusion-reaction equations to model cloud dynamics. In order to efficiently resolve slow dynamics we split the whole nonlinear system in a stiff linear part governing the acoustic and gravitational waves as well as diffusive effects and a non-stiff nonlinear part that models nonlinear advection effects. We use a stiffly accurate second order IMEX scheme for time discretization to approximate the stiff linear operator implicitly and the non-stiff nonlinear operator explicitly. Fast microscale cloud physics is approximated by small scale subtractions.,,Rejected,Abstract Screening,0.25,1,,"M. Lukácová-Medvidová, B. Wiebe, Juliane Rosemeier, P. Spichtinger",,2017,10.1007/978-3-319-57394-6_20,,,,190
A Features-based Comparative Study of the State-of-the-art Cloud Computing Simulators and Future Directions,"Cloud computing has emerged during the last decade and turned out to be an essential component for today’s business. Therefore, many solutions are being proposed to optimize and secure the cloud computing environment. To test and validate the proposed solutions before deploying in real cloud infrastructure, a cloud computing simulator is the key requirement. There are several cloud computing simulators that have been used by research community for this purpose. In this paper, we have discussed modern cloud simulators and presented comprehensive comparison based on their features.",,Rejected,Abstract Screening,0.25,1,,"A. Waqas, Mohammad Asif Khan, Javed Ahmed, M. Rehman, Z. M. Yusof, Abdul Rehman Gilal",,2017,10.14569/ijacsa.2017.080807,,,,106
Flexible Representation of IoT Sensors for Cloud Simulators,"In Internet of Things (IoT), sensors, actuators and smart devices are connected to the Internet. Application providers combine this connectivity with novel scenarios involving cloud computing. Some require in depth analysis of the interaction between IoT devices and clouds. Research focuses on questions like how to govern such large cohort of devices (i.e., often over tens of thousands). Distributed systems simulators help in such analysis, but they are problematic to apply in this newly emerging domain. Most simulators are either too detailed (e.g., need extensive knowledge on networking), or not extensible enough to support the new scenarios. This paper introduces our attempt to show how a state of the art simulator could model generic IoT sensors. We show the fundamental properties of IoT entities represented in the simulator. Based on these properties, we present an XML based, declarative modelling language aiming at: (i) describing the behaviour of sensors and their relation to clouds, and (ii) allowing rapid prototyping of simulations. Finally, we validate the applicability of our IoT extensions in five scenarios in the field of weather forecasting.",,Undecided,Abstract Screening,0.25,1,,"András Márkus, Gábor Kecskeméti, A. Kertész",,2017,10.5771/9783845272115-101,"International Euromicro Conference on Parallel, Distributed and Network-Based Processing",,,97
Observation of energy efficiency in Green cloud simulator,"Green cloud is a highly developed packet-level simulator used to compute energy focusing on the energies consumed by various data centers including servers, network switches. Green cloud simulators are helpful in generating solutions for arranging loads for different number of machines, maintaining and safeguarding the resources, developing the rules required for delivery and also gaining results for network switches. The paper presents the comparison of proper use of overall energy along with depicting graph for total energy along with energy of various resources. It shows the various impact of energy by increasing number of resources using green clouds.",,Undecided,Abstract Screening,0.222222,1,,"Anup Singh Kushwaha, Bashir Alam, Gaganjot Kaur",,2016,10.1109/confluence.2016.7508102,Confluence,,,109
An Implementation of the WS-Agreement Negotiation Standard in CloudSim,"The currently dominating market mechanism for selling IaaS resources is the so called supermarket approach: Consumer buy resources from providers without negotiation. The recent development of Amazon EC2 spot market shows that dynamic market mechanisms are becoming increasingly popular. The so called Bazaar approach is such a dynamic market mechanism. On a Bazaar-base market consumer and provider can negotiate all characteristics of IaaS resources described by SLAs. The WS-Agreement Negotiation standard describes concepts for such bilateral negotiations on Bazaar-based markets. The scientific simulation framework CloudSim is not able to simulate Bazaar-based markets. Thus we extended the framework by developing the so called Bazaar-Extension which implements the basic principles of the WS-Agreement Negotiation standard. Using the Bazaar-Extension consumers and datacenters are created, strategies are assigned to them and the result of the bilateral negotiation simulation are analysed.",,Rejected,Abstract Screening,0.222222,1,,"W. Mach, E. Schikuta, Benedikt Pittl",,2016,10.1109/edocw.2016.7584346,2016 IEEE 20th International Enterprise Distributed Object Computing Workshop (EDOCW),,,80
Teaching Secure Cloud Computing Concepts with Open Source CloudSim Environment,"Cloud Computing is growing very fast and many universities are offering Cloud Computing courses on undergraduate and graduate levels, however, most of them are seminar type courses without hands-on learning experience for students. Hands-on learning, i.e. learning by doing is very crucial to help students understand better on the concepts of cloud computing such as security, task scheduling and network topology. In this paper, we propose to enhance Cloud Computing education with open source simulation tools such as CloudSim. We apply CloudSim to create labware for students to gain hands-on experience and understand different aspects of Cloud Computing more efficiently and effectively. The preliminary feedback on student learning outcomes is very encouraging.",,Undecided,Abstract Screening,0.222222,1,,"K. Qian, Yong Shi, D. Lo",,2016,10.1109/compsac.2016.201,Annual International Computer Software and Applications Conference,,,36
Considering I/O Processing in CloudSim for Performance and Energy Evaluation,"This article presents an extension of the IaaS Cloud simulator CloudSim. Our CloudSim extension takes into account the processing of i/o workload generated by virtual machines within a Data Center and evaluates the overall performance and energy consumption. Indeed, storage systems energy consumption may represent up to 40 % of the total energy consumed in a Data Center. Then, we propose three contributions. First, we modified the time computation model of CloudSim to consider i/o operations. Second, we designed several models of storage system devices including Hard Disk Drives and Solid-State Drives, and finally, we considered the cpu and ram used for i/o request processing. Our extensions have been evaluated using video encoding traces. First simulation results showed that a significant amount of energy, around 17 %, is consumed due to I/O workload execution, which shows the soundness of our CloudSim extensions.

",,Rejected,Abstract Screening,0.222222,1,,"Erwann Kassis, Frank Singhoff, Hamza Ouarnoughi, S. Rubini, Jalil Boukhobza",,2016,10.1007/978-3-319-46079-6_40,ISC Workshops,,,24
GreenCloud simulation QoSbox in cloud computing,"Cloud computing was introduced as a new technology when local resources could not any more fullfil access requirements along with the increase of network bandwidth and variety of services breaks constraints of physical placement and deliver diversities of services in its virtualized hardware and software type. GreenCloud simulator as an extension of the Network Simulator (NS-2) cloud computing simulators, execute an energy-aware cloud computing scenario with data center virtualized components (switches, routers, links, etc.). This paper converses a cloud architecture that delivers virtualized network as per demand from cloud user, with the explanation of QoSbox-based GreenCloud simulation that to demonstrate the performance and behavior of the nework performance in cloud computing environment.",,Undecided,Abstract Screening,0.222222,1,,"Doğan Yildiz, Shafiullah Malekzai, Serap Karagöl",,2016,10.1109/siu.2016.7496160,Signal Processing and Communications Applications Conference,,,19
SORTIS: Sharing of Resources in Cloud Framework Using CloudSim Tool,"In today’s environment, many number of FOSS Cloud Computing software and Proprietary Cloud Computing tools are available for academicians and researchers for carrying out their SAAS or PAAS-oriented Programming. In current research work, Free and Open Source (FOSS) Java-based CloudSim Tool has been used to actively portray customization to the Cloud Framework for better performance, using multiple attributes/resources such as Virtual Machine (VM), MIPS Requirement (million instructions per second), RAM, Bandwidth (BW), and Number of Processors required. A user is prompted to ascertain his requirements and they are allocated depending on his day-to-day dynamic needs.",,Undecided,Abstract Screening,0.2,1,,"R. Johari, Kusha Gupta",,2020,10.1007/978-981-15-5148-2_72,,,,242
GeoLocalitySim: Geographical Cloud Simulator with Data Locality,"Cloud simulator is a framework which supports cloud modelling, testing functionality (e.g. allocating, provisioning, scheduling, etc.), analysing and evaluating performance, and reporting cloud computing environment. Cloud simulators save cost and time of building real experiments on real environment. The current simulators (e.g. CloudSim, NetworkCloudSim, GreenCloud, etc.) deal with data as a workflow. According to our previous work, LocalitySim simulator has been proposed with considering data locality and its effect on the task execution time. This simulator deals with splitting and allocating data based on network topology. According to the work in this paper, LocalitySim simulator has been modified and extended to support extra feature (e.g. geographical distributed data centre(s), geographical file allocation, MapReduce task execution model, etc.) with friendly graphical user interface (GUI). This modified simulator is called GeoLocalitySim. The main issue of the proposed GeoLocalitySim simulator is that it could be extended easily to support more features to meet any future module(s). To validate the accuracy of the proposed GeoLocalitySim simulator, a comparative study has been done between our proposed GeoLocalitySim simulator and Purlieus simulator.",,Undecided,Abstract Screening,0.2,1,,"Ahmed H. Abase, F. Omara, M. Khafagy",,2020,10.1007/978-981-15-3075-3_1,,,,233
Web-Service Development of the Grid-Cloud Simulation Tools,A new system for grid and cloud services simulation is presented. The system is focused on improving efficiency of the grid/cloud systems development by using quality indicators of some real system to design and predict its evolution. For this purpose the simulation program are combined with real monitoring system of the grid/cloud service through a special database. The database development and web interface are described.,,Undecided,Abstract Screening,0.2,1,,"V. Trofimov, G. Ososkov, N. Balashov, A. Uzhinskiy, D. Pryahina, A. Nechaevskiy, V. Korenkov",,2015,10.1016/j.procs.2015.11.060,,,,155
CloudSim-A Survey on VM Management Techniques,"2 Abstract: With the initiation of internet in the 1990s to the present day facilities of universal computing, the internet has reformed the computing world in a drastic way. It has travelled from the concept of parallel computing to distributed computing to cluster computing to grid computing to utility computing to virtualization and recently to cloud computing, in future Internet of Things. Virtualization and utility computing can be stated as key concept of cloud. As cloud computing can be specified as a realization of utility computing. Although the idea of cloud computing has been around for quite some time, it is an evolving field of computer science. Since the evolution of cloud computing: Load balancing, energy management, VM migration, server consolidation, cost modelling and security issues are the popular research topic in this field. Deploying real cloud for testing or for commercial use is very costly. Cloud computing model have complex provisioning, composition, configuration, and deployment requirements. Evaluating the performance of Cloud provisioning policies, application workload models, and resources performance models in a repeatable and controllable manner under varying system and user configurations and requirements is difficult to accomplish. To overcome this challenge, cloud simulator is needed. In this paper basic of cloud simulator is discussed, and major focus is on cloudsim- a simulator for management of vm. The CloudSim toolkit supports both system and behaviour modeling of Cloud system components such as data centers, virtual machines (VMs) and resource provisioning policies. It implements generic application provisioning techniques that can be extended with ease and limited effort. Currently, it supports modeling and simulation of Cloud computing environments consisting of both single and inter-networked clouds (federation of clouds). In this paper how cloudsim work, its architectural design, highlighting important features and give brief overview of its functionalities is presented.",,Rejected,Abstract Screening,0.2,1,,"P. Patel, Ritesh Patel, Seema Vahora",,2015,10.17148/ijarcce.2015.4126,,,,142
WEBCLOUDSIM: AN OPEN ONLINE CLOUD COMPUTING SIMULATION TOOL FOR ALGORITHM COMPARISON,"Comparatively evaluating cloud computing algorithms via credible simulation tools is desirable by many contemporary cloud service researchers and practitioners in terms of cost efficiency and effectiveness. Common cloud computing simulation tools need nontrivial improvements in extensibility, usability, and/or manageability. Aiming to facilitate developing, analyzing and comparing advanced cloud computing algorithms, we have developed the simulation tool WebCloudSim, which is built via open source code and can be accessed for free at http://webcloudsim.org via a web browser. Under the browser-server deployment model, WebCloudSim supports custom settings of target cloud datacenters. It is easy for a WebCloudSim user to configure a specific cloud datacenter environment for several algorithms under evaluation, and to exploit the comparative analysis data and charts that the tool generates automatically. This paper presents design, implementation and usage of the WebCloudSim tool with real use cases.",,Undecided,Abstract Screening,0.2,1,,"Ao Zhou, Youqi Chen, Qibo Sun, Shangguang Wang",,2015,10.29268/stcc.2015.0005,,,,141
CloudSim: A fair benchmark for comparison of methods for times series reconstruction from cloud and atmospheric contamination,"Cloud contamination of optical data is a constant and annoying feature of time series analyses, whether while using vegetation indices or surface temperatures, since it tends to decrease artificially the values taken by these parameters. Therefore, any time series analysis of optical data needs a previous step for gap-filling reconstruction of the time series. Numerous techniques have been presented in the literature to carry out this preliminary and mandatory step. However, the evaluation and comparison of these techniques is difficult, since no “truth” time series is available. We present here a probabilistic model (CloudSim) to provide global typical annual time series for NDVI (Normalized Difference Vegetation Index) and surface temperature (ST) time series (both over land and sea) with and without cloud contamination. This model takes advantage of the newly released Long Term Data Record Version 4 (LTDR-V4) dataset, by estimating at the pixel level daily probabilities of cloud presence, as well as mean and standard deviations for both cloud and clear acquisitions of daily NDVI and ST. Therefore, we can simulate real time series of cloud contamination influence on NDVI or ST parameters. These simulated time series allow for the assessment of the validity and usefulness of any time series reconstruction method, as well as an objective comparison of the efficiency of different methods.",,Rejected,Abstract Screening,0.2,1,,"José A. Sobrino, Y. Julien",,2015,10.1109/multi-temp.2015.7245761,International Workshop on the Analysis of Multitemporal Remote Sensing Images,,,89
Evaluation and Improvement of Load Balancing Using Proposed Cuckoo Search in CloudSim,,,Rejected,Abstract Screening,0.166667,1,,"D. Garg, Pardeep Kumar",,2019,10.1007/978-981-15-0108-1_32,Communications in Computer and Information Science,,,213
Evaluation of Load Balancing Algorithm Using Cloudsim,"Rapid enhancement of cloud computing technology makes the world easier. The impact of the cloud computing on the technology makes it smarter. Load balancing is an important key in cloud computing. There is a lot of load balancing algorithm implemented in cloud computing till today. In this paper we have focused on the Shortest Job First (SJF) algorithm, First Come First Serve (FCFS), Equal Distribution of Task using Cloudlets Binding and Unequal Distribution of Task using Cloudlets Binding on the virtual machine. We have also discussed the static load balancing as well as dynamic load balancing algorithm. We have also discussed the static load balancing as well as dynamic load balancing algorithm. We have simulated all these results of load balancing algorithm using CloudSim 3.0.3. At last we have compared all results and shown which one it better for load balancing. Cloudsim is a simulator which helps to simulate the result of load balancing algorithm. In this paper, we have also explained the working flow of cloudsim simulator.",,Rejected,Abstract Screening,0.142857,1,,"D. Garg, Sakshi Vaishnav, Raushan Kumar, Sarvjeet Kumar Jha",,2018,10.1109/icict43934.2018.9034367,International Congress on Information and Communication Technology,,,223
Comparative Analysis of Cloud Computing Simulators,"Cloud computing is a computing phenomenon which is based on an ideology that by storing data and programs centrally on cloud, users are able to access it anywhere and at any time using miniature portable devices. It has emerged as a technology to deliver on demand resources such as infrastructure, platform, software, etc. to customers similar to other utilities like water, electricity, gas and so on. In spite of these benefits, Cloud computing is faced with several challenges and several solutions and proposals have been offered. However, to validate or assess the performance of each solution, simulation tools are used for studying complex scenarios. Currently, there are several simulation tools that exist, of which, each possesses its specific objective, advantages and disadvantages. In this paper, we present various cloud simulators which were developed over the years as cost-effective ways of conducting cloud research tasks. We performed comparative analysis of thirteen cloud simulators based on varied measures. The objective is to provide insights into each, given their architecture, strengths, weaknesses and recommendations in order to guide researchers on their choice of appropriate tools.",,Undecided,Abstract Screening,0.142857,1,,"Neo Motlhabane, N. Gasela, M. Esiefarienrhe",,2018,10.1109/csci46756.2018.00254,2018 International Conference on Computational Science and Computational Intelligence (CSCI),,,219
Mobile Cloud-Privacy and Data Security in Healthcare Environment Using Cloudsim Simulator,"The advancement of telecommunication in the medical field makes the diagnosis and treatment of patients in a faster manner because the patient information are stored and maintained in an electronic storage device. But there are some issues related to physical data storage, privacy by accessing user data and security etc. With the help of the cloud computing these issues are reduced now. The mobile health care system can improve the quality of patient care and reduce a medical cost for both patients and hospitals. The simulation tool CloudSim is used to generate the data center details, provider’s details and processing time.  For the analysis, the cloud analyst tool can simulate the data center and others.  The patient information in the Healthcare Information System (HIS) and Electronic Medical Records (EMRs) is stored in a data center or cloud platform in a secure manner.  ",,Rejected,Abstract Screening,0.142857,1,,"R. Parameswari, K. Vani",,2018,10.14419/ijet.v7i3.27.17880,International journal of engineering and technology,,,204
Comprehensive and Comparative Study of Cloud Simulators,"Computing and storage capacity are increasingly growing in cloud computing and hence, developers and programmers are deploying their files and applications on cloud. However, it is complex and difficult to deploy a real cloud and is costly as well. Moreover, resource utilization is not much efficient in real cloud. Hence, cloud simulation is considered as a fruitful and effective alternative. In this paper, we provide a complete study and analysis on a variety of cloud simulation tools. Moreover, we present parametric evaluation of cloud simulation tools on the basis of our identified parameters. In addition, we provide challenges and issues encountered by implementers and users of cloud computing during simulation of cloud. Our survey gives thorough overview of various cloud simulation tools, helping researchers and developers in selecting the most appropriate cloud simulation tool. Furthermore, it can be used as a catalog of available cloud simulators to come up with new design.",,Undecided,Abstract Screening,0.142857,1,,"Niti Naik, M. Mehta",,2018,10.1109/punecon.2018.8745422,2018 IEEE Punecon,,,194
A Data Mining Algorithm based on Relevant Vector Machine of Cloud Simulation,"Regarding the problems of long time running and memory overflowing caused from the analysis of data mining algorithms for tactical communication network simulation data, using relevance vector machine (RVM), a data mining algorithm that is mainly used on the small sample of data mining with a good effect but a large amount of calculation that is based on an open source distributed storage and computing platform Hadoop, the author designs a kind of relevance vector machine data mining algorithm based on cloud computing. Based on the sum of the distribution of small sample data mining law in sequence, in some cases, the algorithm reflects the law of large sample data mining. Then, it carries on programming and empirical research, which supports the analysis of massive cloud simulation data.",,Rejected,Abstract Screening,0.142857,1,,"Hui Liu, Gang Li, Wuqi Gao",,2018,10.23940/ijpe.18.06.p28.13601364,,,,181
Study of Aneaka and Cloudsim simulators,"Cloud computing use is increasing day by day as many people are using smart phones, gadgets which are highly computing in nature and for operating them there is need of virtual machines. Cloud computing gaining huge response in market because of daily or we can say per second there is increase in data. For storing and processing them there is best option available i.e. cloud. Virtualization is the basic technique of creating number of options in terms of solutions to the increasing demands from the available limited physical infrastructure. It is the backbone of cloud computing technology. These paper try to deal with studying and evolving various modus operandi,  algorithms, and models for proficient green cloud computing by consuming virtualization methods. It mainly involves virtual machines (VMs) consolidation. Power utilization can be reduced by simply deactivating and reactivating physical machines to meet the current workload. By presenting precise study and use of cloud development tools namely Aneaka and Cloudsim. Thereare many techniquesavailable for implementing cloud scenario, some of them are freely available some open source and hence available free of cost to implement. As implementation of actual cloud required many resources and high band internet, simulation of cloud and its component is the good option of researchers
",,Undecided,Abstract Screening,0.142857,1,,"Rajesh Ingle, N. S. More",,2018,10.26808/rs.ed.i9v1.05,,,,176
Evaluation of Load Balancing in Cloud using CloudSim,,,Rejected,Abstract Screening,0.142857,1,,Sarvjeet Kumar Jha,,2018,10.22214/ijraset.2018.4175,,,,173
Study and Comparison of VM Scheduling Algorithm in Cloud Computing Using CloudSim Simulator,": Scheduling in cloud computing is a technique which is used to improve the overall execution time of the job. A good scheduling algorithm can help in load balancing as well. Scheduling in cloud can be done in three areas i.e. Scheduling Cloudlets (where Cloudlet is small scale data center that is located at the edge of Internet) within the virtual machine, Scheduling Virtual Machine on the host, and scheduling cloudlets to the Virtual Machine. There are used CloudSim Simulator which is control environment in which programmer can run application instead of practically running it. This paper presents Different VM Scheduling algorithm using CloudSim and trying to find out best algorithm.",,Rejected,Abstract Screening,0.142857,1,,R. Joshi,,2018,10.22214/ijraset.2018.5285,International Journal for Research in Applied Science and Engineering Technology,,,170
MC-Sim: a mobile cloud simulation toolkit based on CloudSim,"Mobile Cloud Computing (MCC) has gained a significant attention these past years. MCC consists of migrating mobile applications from the constrained mobile devices to the cloud. This task is highly complicated and demanding, therefore several novel methods, tools, and approaches are introduced to tackle this complexity. At this point, we argue that a simulation of the deployment mechanisms for accessing cloud services and testing mobile cloud applications in the cloud environment is a mandatory phase prior to real deployment in a real environment. A simulation will offer the developer a controllable and cost-free environment to test and evaluate applications' performance according to different predefined scenarios. As MCC lacks tools of simulation of its aspects, to fill this gap we propose Mobile Cloud Simulation (MC-Sim) toolkits based on CloudSim.",,Rejected,Abstract Screening,0.142857,1,,"M. Oussalah, Mohamed Ridda Laouar, A. Amirat, Manel Gherari",,2018,10.1504/ijcat.2018.10010972,International journal of computer application and technology,,,7
Three-dimensional particle cloud simulation based on illumination model,"The simulation of 3D clouds has been a challenging research question in the field of computer graphics. Aiming at the problem that the existing three-dimensional cloud is not realistic, a three-dimensional particle cloud simulation method based on the illumination model is proposed, which randomly generate the particles according to the principle of the particle system and give the particles the initial color, size and shape. And then add the lighting effects and render them to achieve the three-dimensional cloud simulation. Comparing with the previous three-dimensional cloud modeling method, this method has the advantages of rapid rendering of cloud, because of the effect of adding light, the real feeling more intense.",,Rejected,Abstract Screening,0.125,1,,"Jin Duan, Yong Zhu, Yumeihui Xing, Hao Wang",,2017,10.1117/12.2291982,Other Conferences,,,189
Comprehensive study of multi-resource cloud simulation tools,"Article history: Received 18 January 2017 Received in revised form 22 April 2017 Accepted 27 April 2017 This paper aims to explore Cloud simulation tools comprehensively. Specifically, it is to propose which simulator will fit in one’s preferences since each simulator has its purpose. Gathering data from research papers along with the simulation processes of four cloud simulators provides a comprehensive approach for identifying the parameters in percentage, characteristics and important features of each cloud simulator. Utilizing cloud simulation tools during testing and modeling the real cloud datacenters provide a test environment which gives a repeatable and controllable environment promptly. The said tools offer the possibility to determine quickly whether the wise guess is true or false. Possibly, the stakeholder can map according to the algorithm used, and give various workloads, tasks, the number of hosts, and virtual machines. Also, the inexpensive way to study how the real cloud datacenters work brings more flexibility and scalability. Cloud simulation tools should be the primary instrument for any cloud computing testing, modeling, and technique.",,Undecided,Abstract Screening,0.125,1,,"Jay Ar P. Esparcia, Monisha Singh",,2017,10.21833/ijaas.2017.07.006,,,,174
Recovery based TPA in cloud for providing security to outsourced data using CloudSim,"Nowadays Cloud Computing became an inevitable thing in human's life. Both individual users and companies seek help of cloud for storing their data. When storing the data in the cloud user will have a fear about whether their data safe or not in cloud. So integrity of the data stored in the cloud is serious issue. To check the integrity of the data we propose a scheme that uses a trusted Third Party Auditor (TPA), who can verify the integrity of the data on demand. In the proposed system TPA does verification job for the user and also for Cloud Storage Server (CSS). So TPA helps users to find out the original data without any online burden to users and helps the CSS to replace the corrupted data with the original data",,Rejected,Abstract Screening,0.125,1,,"Huda Noordean, C. Noorjahan",,2017,10.1109/icecds.2017.8389512,"2017 International Conference on Energy, Communication, Data Analytics and Soft Computing (ICECDS)",,,121
Simulation of MapReduce Across Geographically Distributed Datacentres Using CloudSim,"Analysis of geo-distributed Big Data has been recently gaining importance. This is addressed either by copying data to a single data centre, or by processing data locally at each datacentre and aggregating the outputs at a single datacentre. Both involve expensive data transfers over wide area networks (WAN). In this work, we analyzed different models proposed for distributed MapReduce in various papers and selected a feasible model to simulate Map Reduce across distributed data centers. We have designed an extension to CloudSim and CloudSimEx to support three methods of implementing geo-distributed MapReduce. A heuristic decision algorithm is devised based on input, intermediate, and output files sizes to select suitable execution path.
",,Rejected,Abstract Screening,0.125,1,,"R. Srinivasan, D. S. Jayalakshmi",,2017,10.1007/s10994-017-5672-2,International Conference on Distributed Computing and Internet Technology,,,101
Analysis of E-Commerce Big Data using Clustering and CloudSim Load Balancing,In this paper an efficient technique is implemented for the analysis of E-Commerce based Applications over Big Data. The Proposed Methodology implemented here is based on the concept of providing Extracting Feature Vectors from the E-Commerce Data and Load balancing of Data using CloudSim based Load balancing and finally Clustered the Data. The Proposed Methodology implemented provides efficient Accuracy & Processing Time as compared to the existing methodology implemented for the analysis of ECommerce Data.,,Rejected,Abstract Screening,0.125,1,,"Anil Suryavanshi, N. Jain",,2017,10.5120/ijca2017913327,,,,100
Comparative Study for Different Provisioning Policies for Load Balancing in Cloudsim,"Distributing application requests across applications located in different datacenters with in cloud equally must be provided by cloud load balancing. In this paper, we compare different provisioning policies within cloud for virtual machines and workloads, where we are focusing on how to distribute the processing power between virtual machines and how to distribute workload among virtual machines. Cloudsim is the simulation plate form used to test the different distributions scenarios to check the performance on makespan, average turnaround time, bandwidth utilization and CPU utilization. Result showed the difference in performance between the three tested provisioning schemes, where the space-shared gives better readings for the selected performance metrics.",,Rejected,Abstract Screening,0.125,1,,Layla Albdour,,2017,10.4018/ijcac.2017070104,International Journal of Cloud Applications and Computing,,,99
Comparative Analysis of Cloud Simulators and Authentication Techniques in Cloud Computing,"Cloud computing is the concern of computer hardware and software resources above the internet so that anyone who is connected to the internet can access it as a service or provision in a seamless way. As we are moving more and more towards the application of this newly emerging technology, it is essential to study, evaluate and analyze the performance, security and other related problems that might be encountered in cloud computing. Since, it is not a practicable way to directly examine the behavior of cloud on such problems using the real hardware and software resources due to its high costs, modeling and simulation has become an essential tool to withstand with these issues. In this paper, we retrospect, analyse and compare features of the existing cloud computing simulators and various location based authentication and simulation tools.",,Undecided,Abstract Screening,0.111111,1,,"Ashima Mehta, S. Panda",,2016,10.15415/jotitt.2016.42010,,,,232
Locality Sim: Cloud Simulator with Data Locality,"Cloud Computing (CC) is a model for enabling on-demand access to a shared pool of configurable computing resources. Testing and evaluating the performance of the cloud environment for allocating, provisioning, scheduling, and data allocation policy have great attention to be achieved. Therefore, using cloud simulator would save time and money, and provide a flexible environment to evaluate new research work. Unfortunately, the current simulators (e.g., CloudSim, NetworkCloudSim, GreenCloud, etc..) deal with the data as for size only without any consideration about the data allocation policy and locality. On the other hand, the NetworkCloudSim simulator is considered one of the most common used simulators because it includes different modules which support needed functions to a simulated cloud environment, and it could be extended to include new extra modules. According to work in this paper, the NetworkCloudSim simulator has been extended and modified to support data locality. The modified simulator is called LocalitySim. The accuracy of the proposed LocalitySim simulator has been proved by building a mathematical model. Also, the proposed simulator has been used to test the performance of the three-tire data center as a case study with considering the data locality feature.",,Undecided,Abstract Screening,0.111111,1,,"Ahmed H. Abase, F. Omara, M. Khafagy",,2016,10.5121/ijccsa.2016.6602,International Conference on Cloud Computing,,,38
Multi-core Processors in Cloud Computing using Cloudsim,"Multi-core processor is viewed as the future production of microprocessor design. It is not only a solution for CPU speeds but also it decreases the power consumption, because many cores in a lower frequency collectively produce less heat dissipation than one core with their total frequency. From this point of view, Cloud computing will be mostly built on top of multi-core technologies. However, to fully take advantage of the computational capability and the other advantages of multi-cores, a lot of new techniques must be proposed and considered. In this research paper, a resourcescheduling algorithm along with a server consolidation algorithm is applied to multi-core processors. It is be shown by experimental results that adding cores to the processors in data centers increases the system performance, decreases the power consumption, along with other benefits.",,Undecided,Abstract Screening,0.111111,1,,"M. Haggag, Mostafa-Sami M. Mostafa, D. Salem",,2016,10.5120/ijca2016908869,,,,30
CloudTax: A CloudSim-Extension for Simulating Tax Systems on Cloud Markets,"Today service markets are becoming business reality as for example Amazon's EC2 spot market. However, current research focusses on simplified consumer-provider service markets only. Taxes are an important market element which has not been considered yet for service markets. This paper introduces and evaluates the effects of tax systems for IaaS markets which trade virtual machines. As a digital good with well defined characteristics like storage or processing power a virtual machine can be taxed by the tax authority using different tax systems. Currently the value added tax is widely used for taxing virtual machines only. The main contribution of the paper is the so called CloudTax component, a framework to simulate and evaluate different tax systems on service markets. It allows to introduce economical principles and phenomenons like the Laffer Curve or tax incidences. The CloudTax component is based on the CloudSim simulation framework using the Bazaar-Extension for comprehensive economic simulations. We show that tax mechanisms strongly influence the efficiency of negotiation processes in the Cloud market.",,Rejected,Abstract Screening,0.111111,1,,"W. Mach, E. Schikuta, Benedikt Pittl",,2016,10.1109/cloudcom.2016.0021,2016 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),,,21
Special issue on Cloud Simulation,,,Rejected,Abstract Screening,0.1,1,,"Gabriele D’angelo, R. E. Grande",,2015,10.1016/j.simpat.2015.09.006,,,,197
Implementation of an Earliest Deadline First Algorithm in Cloud Computing Environment using The CloudSim Tool,,,Rejected,Abstract Screening,0.1,1,,Sayda Khidr Fadlalah Ali,,2015,10.1109/iccneee.2015.7381360,,,,160
